Case Number,Month,Day,Year,Country,Region,Attack Location,Provoked (Y/N),Injury Description,Fatal (Y/N),Victim_Gender,Activity,Investigator or Source
1953.07.31,Jul,31,1953,mexico,colima,manzanillo,Unprovoked,FATAL,y,f,Wading,"V.M. Coppleson (1958), p.262; J.M. Alatorre"
1953.07.26,Jul,26,1953,usa,hawaii,"maile beach, o'ahu",Unprovoked,"FATAL, thigh bitten",y,m,Spearfishing,"V.M. Coppleson (1958), p.260; L. Taylor (1993), pp.100-101"
1953.07.16,Jul,16,1953,usa,california,santa catalina island,Provoked,Arm bitten by hooked shark PROVOKED INCIDENT,n,m,Fishing from market fishboat Sea Spray,"L.A. Times, 7/17/1953 "
1953.07.15,Jul,15,1953,usa,florida,juno beach,Unprovoked,Lower left leg severely bitten,n,f,Standing,"R.F. Hutton; T. Helm, p. 231 "
1953.03.19.R,Mar,19,1953,australia,south australia,"schnapper rock, kirton point",Unprovoked,Abrasion,n,m,Spearfishing,"The Advertiser, 3/19/1953"
1953.02.18,Feb,18,1953,usa,hawaii,"barbers point, o'ahu",Provoked,Hand bitten  PROVOKED INCIDENT  ,n,m,Bitten while cutting shark from net,"V.M. Coppleson (1958), p.260; G.H. Balazs; J. Borg, p.72; L. Taylor (1993), pp.100-101"
1953.02.15,Feb,15,1953,australia,new south wales,cave at shell harbour,Unprovoked,"Shark tore off face mask, divers face, nose & chin lacerated",n,m,Spearfishing,"Spearfishing News, April 1953, p.5; J. Oetzel in Skin Diver Magazine, March 1965, p.17; V.M. Coppleson (1958), p.33"
1953.01.20,Jan,20,1953,australia,south australia,largs bay,Provoked,Finger bitten by hooked shark PROVOKED INCIDENT,n,m,Fishing,"The Advertiser, 1/23/1953"
1952.12.24,Dec,24,1952,australia,victoria,"portsea beach, near melbourne",Unprovoked,"No injury, board bumped by shark",n,m,Lying prone on surfboard,"V.M. Coppleson (1962), frontspiece"
1952.12.21,Dec,21,1952,australia,south australia,cape douglas,Unprovoked,Bitten on thigh and buttocks,n,m,"Fishing, setting nets","V.M. Coppleson (1958), p.178; V.M. Coppleson (1962), p.245"
1952.10.12,Oct,12,1952,papua new guinea,"abau sub district, central province",lalaura village,Unprovoked,Right thigh bitten ,n,m,Fishing,"A. Bleakley; A.M. Rapson, p.148"
1952.07.27.c,Jul,27,1952,usa,south carolina,seabrook beach,Provoked,Finger bitten by hooked shark PROVOKED INCIDENT,n,m,Fishing,"News and Courier, 7/28/1952"
1952.07.27.b,Jul,27,1952,usa,south carolina,seabrook beach,Provoked,Thumb bitten by hooked shark PROVOKED INCIDENT,n,m,Fishing,"News and Courier, 7/28/1952"
1952.07.13,Jul,13,1952,usa,california,san diego,Provoked,Part of hand removed by shark he had caught PROVOKED INCIDENT,n,m,Fishing,"L.A. Times, 7/14/1952 "
1952.05.27,May,27,1952,usa,california,imperial beach,Unprovoked,Foot & swimfin bitten,n,m,Swimming on surface,"R. Collier, pp.8-9"
1952.03.30,Mar,30,1952,netherlands antilles,curacao,,Unprovoked,"Buttock bitten, tissue removed",n,m,Went to aid of child being menaced by the shark,"J. Randall, p.352 in Sharks & Survival; H.D. Baldridge, p.172"
1952.01.23,Jan,23,1952,mauritius,port louis province,port louis,Provoked,Right foot lacerated by a larger shark. Lost several toes  PROVOKED INCIDENT,n,m,"Spearfishing, speared a small shark","V.M. Coppleson (1958), p.262; V.M. Coppleson (1962), p.253"
1951.12.21,Dec,21,1951,mozambique,bay of maputu,catembe,Unprovoked,"FATAL, right leg, thighs & hands bitten  ",y,m,Swimming,GSAF
1951.12.16,Dec,16,1951,australia,new south wales,north bondi,Provoked,Speared shark lacerated left leg above ankle  PROVOKED INCIDENT,n,m,Spearfishing,"V.M. Coppleson (1958), pp. 171-172"
1951.11.29,Nov,29,1951,south africa,kwazulu-natal,"south beach, durban",Unprovoked,Thigh bruised & abraded,n,m,Swimming,"G. Plowman, M. Levine, GSAF "
1951.11.28.b,Nov,28,1951,jamaica,kingston parish,kingston harbor,Unprovoked,Lacerations to left hand,n,m,Fishing,"Daily Gleaner, 11/29/1951, p. 1"
1951.11.28.a,Nov,28,1951,south africa,kwazulu-natal,winkelspruit,Unprovoked,"Leg severed below knee, defense wounds on hand",n,m,Treading water,"G. Plowman, M. Levine, GSAF"
1951.11.23.R,Nov,23,1951,philippines,,,Unprovoked,"FATAL, two men survived, one succumbed to shark bite & exhaustion",y,m,Shipwrecked; adrift on raft for 2 days & 2 nights,"Fresno Bee Republican, 11/23/1951"
1951.10.22,Oct,22,1951,australia,queensland,"ocean baths, kissing point beach",Unprovoked,"FATAL, leg severed, shark dragged him through hole in protective net",y,m,Swimming,"V.M. Coppleson (1958), pp.90-91; A. Sharpe, pp.98-99; A. MacCormick, p.169"
1951.09.29,Sep,29,1951,italy,salerno,amalfi,Unprovoked,FATAL,y,f,Swimming,"C. Moore, GSAF; Courier-Mail, 11/3/1951"
1951.08.17.b,Aug,17,1951,greece,corfu island,off royal residence,Unprovoked,Injured but survived,n,m,Swimming,A. De Maddalena
1951.08.17.a,Aug,17,1951,greece,corfu island,off royal residence,Unprovoked,"FATAL, body not recovered Another man was also injured by the shark at same time (see below)",y,f,Swimming,A De Maddalena
1951.08.16.R,Aug,16,1951,italy,taranto,torre colimena,Unprovoked,No injury,n,m,Diving (Hookah),"C. Moore, GSAF"
1951.07.19.R,Jul,19,1951,usa,california,long beach,Unprovoked,Severe laceration to foot,n,m,,"Long Beach Independent, 7/19/1951, p.4A"
1951.07.11,Jul,11,1951,pacific ocean,,in los angeles  honolulu yacht race,Unprovoked,"""Molested by shark that nibbled his bare feet"",  rescued 30 hours later.",n,m,Fell overboard,"Daily Review, 7/13/1951"
1951.06.25,Jun,25,1951,usa,hawaii,"kapehu beach, laupahoehoe, hawai'i",Unprovoked,"FATAL, victim seen in shark's mouth",y,m,Swept out to sea while fishing,"G.H. Balazs & A.K.H. Kam; J. Borg, p.72; L. Taylor (1993), pp.100-101"
1951.05.22,May,22,1951,mexico,,,Unprovoked,Lower leg severely injured,n,m,Free diving,"H.D.Baldridge (1994), SAF Case #1482"
1951.03.26,Mar,26,1951,australia,new south wales,avalon,Provoked,Minor laceration to chest when he grabbed the shark by its tail PROVOKED INCIDENT,n,m,Fell off surf ski,"Canberra Times, 1/27/1951"
1951.03.24,Mar,24,1951,australia,new south wales,sydney,Unprovoked,Severe lacerations of chest & thigh,n,m,"Fishing, casting in the surf","LA Times, 3/25/1951 "
1951.03.15,Mar,15,1951,south africa,kwazulu-natal,"south beach, durban",Unprovoked,Left foot lacerated,n,m,Body surfing,"M. Levine, GSAF"
1951.02.19,Feb,19,1951,south africa,eastern cape province,port st. johns,Unprovoked,"Leg bitten, defense wounds on hands",n,m,Body surfing,"K. Huskisson, M. Levine, GSAF"
1951.01.21,Jan,21,1951,south africa,kwazulu-natal,"native beach, durban",Unprovoked,"FATAL, right thigh bitten, leg severed at knee",y,m,Swimming,"D. Davies; M. Levine, GSAF  "
1950.12.31,Dec,31,1950,australia,queensland,kirra,Unprovoked,"No injury, shark bit oar",n,m,Paddling a surfboat,"Examiner, 1/1/1951"
1950.12.16,Dec,16,1950,australia,queensland,"palm beach north, 5 miles north of burleigh heads, brisbane",Unprovoked,"FATAL, lower abdomen severely bitten & his left leg was severed",y,m,Treading water,"R. A Smith; G.P. Whitley (1951), p.194, cites Sunday Herald (Sydney), 12/17/1950; V.M. Coppleson (1958), pp.94 & 239]"
1950.11.29,Nov,29,1950,australia,northern territory,goulburn island,Provoked,"Minor injury to hand and groin from shark ""caught on his fishing spear"" PROVOKED INCIDENT",n,m,Diving ,"Northern Standard, 12/1/1950"
1950.11.25,Nov,25,1950,australia,queensland,"burleigh heads, brisbane",Unprovoked,Part of buttocks & fingers severed,n,m,Body surfing,"G.P.Whitley (1951), p. 194, cites Sunday Herald (Sydney), 11/26/1950; V.M. Coppleson (1958), pp. 93-94 & 239"
1950.10.08,Oct,28,1950,usa,california,imperial beach,Unprovoked,Right leg lacerated,n,m,Body surfing / treading water,"R. Collier, p 6-8, R. B. Campbell;  New York Times, 10/10/1960; Coppleson (1958), p.254; D. Miller & R. Collier"
1950.07.21,Jul,21,1950,japan,sago prefecture,ariakeno bay,Unprovoked,FATAL,y,m,Swimming,M. Hosina; K. Nakaya
1950.07.14,Jul,15,1950,cuba,caribbean sea,,Unprovoked,Found at 21h30 by searchlight. Had been constantly harassed by sharks & had numerous lacerations,n,m,Swept off deck of S.S.Frontenac enroute from West Indies to US,"L.A. Times, 8/20/1950; Evening Star (Washington, DC), 8/24/1950; V.M. Coppleson (1962), p.259"
1950.07.10,Jul,10,1950,usa,texas,near port arthur,Unprovoked,Laceration to leg,n,m,Swimming,"Amarillo Daily News, 7/12/1950"
1950.06.25,Jun,25,1950,usa,new york,"beach 103rd street, rockaway",Unprovoked,"Gashes & lacerations on legs, foot lacerated.",n,m,Swimming ," New York Times, 6/25/1950, p.1. col.2 & p.38"
1950.05.24,May,24,1950,south africa,kwazulu-natal,port edward,Unprovoked,Left foot bitten,n,m,Treading water,"L.R. Tibbet, M. Levine, GSAF"
1950.03.26,Mar,26,1950,south africa,eastern cape province,"off bank of ntshala river, morgan bay",Unprovoked,"Ankle & foot lacerated, defense wounds on hand",n,m,Wading,"M. Levine, GSAF"
1950.02.18.R,Feb,18,1950,australia,western australia,"cottesloe, perth",Unprovoked,Minor injury to leg,n,m,Spearfishing,"Mirror, 2/18/1950"
1950.02.11,Feb,11,1950,south africa,kwazulu-natal,"south beach, durban",Unprovoked,"FATAL, body not recovered ",y,m,Body surfing,"M. Dumayne, M. Levine, GSAF"
1950.01.12.R,Jan,12,1950,australia,victoria,south werribee beach,Unprovoked,3 lacerations to heel,n,m,Swimming,"Werribee Shire Banner, 1/12/1950"
1949.11.20,Nov,20,1949,australia,new south wales,"kurnell, botany bay",Unprovoked,Left arm bitten ,n,m,Free diving or wading back to shore,"Sydney Morning Herald, 11/20/1949"
1949.08.28.b,Aug,28,1949,australia,queensland,yorkeys knob beach near cairns,Unprovoked,Abdomen & chest abraded,n,m,Swimming,"V.M. Coppleson (1958), p.89"
1949.08.28.a,Aug,28,1949,australia,queensland,yorkeys knob beach near cairns,Unprovoked,"FATAL, right leg, thigh & fingers lacerated ",y,m,Swimming,"G.P. Whitley (1951), p.194, cites Daily Telegraph (Sydney), 8/29/1949; V.M. Coppleson (1958), pp.88 & 239"
1949.08.16,Aug,16,1949,australia,tasmania,flinders island,Unprovoked,Hip lacerated,n,m,Swimming near shore,"G.P. Whitley (1952), p.194;, citing Daily Telegraph (Sydney), 8/18/1949; V.M. Coppleson (1958), p.240; C. Black, p. 148"
1949.08.10.R,Aug,10,1949,italy,calabria,cosenza,Unprovoked,Right hand severed,n,m,Swimming,"C. Moore, GSAF"
1949.07.28,Jul,28,1949,iran,shatt-al-arab river,bashamir,Unprovoked,"FATAL, thigh lacerated, femur exposed ",y,m,Swimming,"A. Anderson, M.D. / Lt. Col. R.S. Hunt, Royal Army Medical Corp, p.85 "
1949.07.25,Jul,25,1949,usa,south carolina,oketee river,Unprovoked,"Abdomen abraded, thigh lacerated",n,m,Floating on his back,"V.M. Coppleson (1958), p.153"
1949.07.16,Jul,16,1949,usa,california,10 miles off redondo beach,Provoked,Right hand bitten by hooked shark being pulled onboard PROVOKED INCIDENT,n,m,Fishing,"L.A. Times, 7/17/1949 "
1949.05.16,May,16,1949,australia,western australia,broome,Unprovoked,"Left arm severed above elbow, recovered 5 days afterwards from sharks gut",n,f,Bathing,"V.M. Coppleson (1958), pp.107 & 241; G.P. Whitley (1951), pp.186-188; A. Sharpe, pp.131-132"
1949.05.13,May,13,1949,australia,new south wales,nelson's bay,Provoked,Lacerations to right hand PROVOKED INCIDENT,n,m,"Examining netted shark, that had been shot","V.M. Coppleson (1958), p.176; R. Skocik, p.179"
1949.04.18,Apr,18,1949,australia,queensland,"nerang river, southpot",Provoked,Toe bitten by netted shark PROVOKED INCIDENT,n,m,Fishing,"Courier-Mail, 4/19/1949"
1949.04.17,Apr,17,1949,australia,queensland,"ellis beach, 20 miles from cairns",Unprovoked,"FATAL, left leg severed",y,m,Bathing in water 0.9 m deep,"G.P. Whitley (1951), p.194; V.M. Coppleson (1958), p.239; A. Sharpe, pp.38 & 97"
1949.04.13,Apr,13,1949,mexico,tamaulipas,"miramar beach, tampico",Unprovoked,"U.S. destroyer John W. Weeks, 6 miles offshore, demonstrating guns & bombs for Mexican officials was thought to have driven the shark into the shallows where it bit the bather before other bathers drove it away with sticks & clubs.",n,m,Bathing,"New York Herald Tribune, 4/15/1949"
1949.01.23,Jan,23,1949,australia,new south wales,"bar beach, newcastle",Unprovoked,FATAL,y,m,Lifesaving exhibition,"G.P. Whitley (1951); V.M. Coppleson (1958), pp. 77 & 78; A. Sharpe, pp.84-85"
1949.01.13,Jan,13,1949,australia,new south wales,"mona vale, near sydney",Unprovoked,"No injury, shark bumped ski",n,m,Surf skiing,"G.P. Whitley (1951), p.193; V.M. Coppleson (1958), pp.41-42; Sharp, p.32"
1948.12.27,Dec,27,1948,australia,western australia,lancelin island,Unprovoked,"FATAL, disappeared while swimming  ",y,m,Swimming,"V.M. Coppleson (1958), pp.22-23"
1948.12.26,Dec,26,1948,australia,queensland,"kings beach, caloundra",Unprovoked,"FATAL, left hand severed, left leg arm bitten, tissue removed hip to knee  ",y,m,"Treading water, waiting for a wave","Gilbert P. Whitley (1951), p.193; V.M. Coppleson (1958), p.239. NOTE: Whitley records location as Coolangatta"
1948.12.14.b,Dec,14,1948,iran,shat-al-arab river,abadan,Unprovoked,Left thumb severed,n,m,,"A. Anderson, M.D. / Lt. Col. R.S. Hunt, Royal Army Medical Corp"
1948.12.14.a,Dec,14,1948,cuba,guantanamo province,10 miles off cape maisi,Unprovoked,"2 hours later shark bit Jeppsens feet, arm, knee & finally killed him. Tony, clothing torn but alive, washed ashore on Cuban coast",n,m,"2 messboys (Jeppsen) & Tony Latona (13) were playing on the afterdeck of the Danish ship Grete Maersk. Jeppsen fell overboard, Latona threw a lifebelt then jumped in to help him. Ship didnt notice they were missing","Washington Post, 12/23/1948, p.`"
1948.12.10,Dec,10,1948,australia,queensland,rib reef off townsville,Unprovoked,Hand injured,n,m,Fishing,"Townsville Daily Bulletin, 12/14/1948"
1948.11.18,Nov,18,1948,australia,torres strait,"saibai island, 80 miles north of cape york",Unprovoked,Leg bitten,n,m,Pearl diving,"The Argus, 11/20/1948"
1948.09.22,Sep,22,1948,greece,attica,keratsini,Unprovoked,FATAL,y,m,Swimming,"C. Moore, GSAF"
1948.09.19.b,Sep,19,1948,usa,hawaii,"off makapauu point, o'ahu",Unprovoked,Leg bitten,n,m,Swimming,"J. Borg, p.72; L. Taylor (1993), pp.98-99"
1948.09.19.a,Sep,19,1948,usa,hawaii,"off makapauu point, o'ahu",Unprovoked,Survived,n,m,Fishing,"V.M. Coppleson (1958); Honolulu Advertiser, 8/9/1953; Hawaiian Tribune-Herald, 4/14/1963"
1948.09.17.R,Sep,17,1848,turkey,adana province,yumurtalik,Unprovoked,FATAL,y,m,Swimming,"C. Moore, GSAF"
1948.08.19,Aug,19,1948,iran,shatt-al-arab river,,Unprovoked,"FATAL, right arm  severely bitten & surgically amputated, died 12 to 14 hours later   ",y,m,,"A. Anderson, M.D. / Lt. Col. R.S. Hunt, Royal Army Medical Corp"
1948.05.10,May,10,1948,iran,shatt-al-arab river,,Provoked,"8"" x 4"" left antecubital fossa of muscle & skin removed  PROVOKED INCIDENT",n,m,"Fishing, shark caught in his net","A. Anderson, M.D. / Lt. Col. R.S. Hunt, Royal Army Medical Corp, p.84; "
1948.04.10,Apr,10,1948,south africa,western cape province,gansbaai,Provoked,Groenwald's arm lacerated by the shark PROVOKED INCIDENT,n,m,"Bringing hooked, harpooned shark onboard boat","M. Levine, GSAF"
1948.02.12,Feb,12,1948,australia,new south wales,"stockton beach, newcastle",Unprovoked,"FATAL, right thigh & leg bitten ",y,m,Swimming,"G.P. Whitley (1951), p.193; V.M. Coppleson (1958); A. Sharpe, p.83"
1948.01.25,Jan,25,1948,australia,new south wales,"mona vale, near sydney",Unprovoked,"No injury, ski bitten",n,m,Surf skiing,"Cairns Post, 1/27/1948"
1947.12.21,Dec,21,1947,australia,new south wales,"watson taylor's lake, 25 miles south of port macquarie",Unprovoked,Leg gashed,n,m,Fishing,"Canberra Times, 12/22/1947"
1947.11.14.b,Nov,14,1947,australia,new south wales,"knobby's beach, newcastle",Unprovoked,"No injury, ski bumped",n,m,Fishing from surf ski,"G.P. Whitley; Barrier Miner, 11/17/1947"
1947.11.14.a,Nov,14,1947,australia,new south wales,"knobby's beach, newcastle",Unprovoked,"No injury, ski bumped",n,m,Fishing from surf ski,"G.P. Whitley; Barrier Miner, 11/17/1947"
1947.10.28,Oct,28,1947,australia,northern territory,"mornington island, gulf of carpentaria",Unprovoked,Kneecap removed,n,m,Fishing in waist-deep water,"G.P. Whitley (1951), p.193; V.M. Coppleson (1958), p.240"
1947.10.10,Oct,10,1947,brazil,pernambuco,piedade,Unprovoked,FATAL,y,m,Swimming ,"JC Online, 6/25/2012"
1947.07.27.R,Jul,27,1947,usa,california,santa monica,Provoked,PROVOKED INCIDENT,n,m,Fishing,"Joplin Globe, 7/27/1947"
1947.07.24.R,Jul,24,1947,australia,northern territory,darwin harbour,Unprovoked,Suit ripped,n,m,Diving,"Canberra Times, 7/25/1947"
1947.07.15,Jul,15,1947,south africa,kwazulu-natal,"north beach, durban",Unprovoked,Right thigh lacerated,n,m,Swimming,"M. Levine, GSAF"
1947.06.27,Jun,27,1947,usa,hawaii,"off waianae, o'ahu",Unprovoked,"Left forearm, arm & leg lacerated",n,m,Fishing,"EWA Hospital; G.H. Balazs & A.K.H. Kam; J. Borg, p. 72; L. Taylor (1993), pp.98-99"
1947.05.13.R,May,13,1947,kenya,coast province,"kilindini harbor, mombasa",Unprovoked,Knee grazed,n,m,Swimming,"Sunday Tribune, 5/13/1947"
1947.04.20,Apr,20,1947,south africa,kwazulu-natal,"country club beach, durban",Unprovoked,Ankle & shin lacerated,n,m,Treading water,"A. Nielsen, M. Levine, G. Charter, GSAF "
1947.04.11,Apr,11,1947,south africa,kwazulu-natal,"rocket hut beach, durban",Unprovoked,"Thigh severely lacerated, shin & calf lacerated",n,m,Body surfing,"R. Douglas, T. Livesley,  M. Levine, GSAF "
1947.03.12,Mar,12,1947,south africa,kwazulu-natal,"country club beach, durban",Unprovoked,"Hip abraded, right calf severely lacerated",n,m,Wading,"A. Kriel, M. Levine, GSAF "
1946.12.28,Dec,28,1946,australia,south australia,glenelg,Unprovoked,"Forearm & fingers lacerated, teethmarks on wood",n,m,Swimming near jetty with 2' piece of wood,"G.P. Whitley (1951), p.193; V.M. Coppleson (1958), pp.110 & 240 "
1946.11.20,Nov,20,1946,australia,torres strait,40 miles off thursday island,Unprovoked,"FATAL, right arm severed",y,m,Pearl diving from lugger,"G.P. Whitley (1951), p. 193;V.M. Coppleson (1958), p.245"
1946.10.14,Oct,14,1946,australia,new south wales,"marks point, swan bay, lake macquarie",Unprovoked,Left leg lacerated,n,m,Swimming,"G.P. Whitley (1951), p.193; V.M. Coppleson (1958), p.112"
1946.08.24,Aug,24,1946,israel,gaza,jura village,Unprovoked,Laceration to back,n,m,Fishing,C. Moorem GSAF
1946.08.18,Aug,18,1946,australia,queensland,"ellis beach, 20 miles from cairns",Unprovoked,"FATAL, body not recovered",y,m,Swimming after a tennis ball,"G.P. Whitley (1951), p.193;V.M. Coppleson (1958), pp.87-88 & 239; A. Sharpe, p.97"
1946.07.18.b,Jul,18,1946,iran,khuzestan province,"dorquain, on the karun river",Unprovoked,Radius & ulna bared,n,m,"Fishing, probably with a net","A. Anderson, M.D. / Lt. Col. R.S. Hunt, Royal Army Medical Corp, p.84 "
1946.07.18.a,Jul,18,1946,iran,khuzestan province,"ahvaz, on the karun river, 275 km from the sea",Unprovoked,"Left Achilles tendon severed, calf muscles severely lacerated",n,m,Swimming ,"A. Anderson, M.D. / Lt. Col. R.S. Hunt , p.84"
1946.06.28,Jun,28,1946,india,,chennai,Unprovoked,"""Serious injuries""",n,m,Bathing,"Indian Express, 6/30/1946"
1946.04.19,Apr,19,1946,australia,queensland,"trinity beach, cairns",Unprovoked,FATAL,y,m,Swimming,"J. Croucher; G.P. Whitley (1951), p.193; V.M. Coppleson (1958), p.87 "
1946.02.16,Feb,16,1946,south africa,kwazulu-natal,"south beach, durban",Unprovoked,Right arm severely lacerated,n,m,Treading water,"M. Levine, GSAF "
1946.02.10.b,Feb,10,1946,australia,western australia,"city beach, perth",Unprovoked,"Leg bitten, surgically amputated",n,m,Standing,"West Australian, 2/11/1946, p.6; G.P. Whitley (1951), p.193; V.M. Coppleson (1958), pp.111 & 245; A. Sharpe, pp.130-131; H. Edwards, p.133-134"
1946.02.10.a,Feb,10,1946,south africa,kwazulu-natal,"battery beach, durban",Unprovoked,Flexed right  knee bitten,n,m,Swimming ,"J.R. Varma, M. Levine, GSAF "
1946.01.24.b,Jan,24,1946,south africa,kwazulu-natal,"battery beach, durban",Unprovoked,Knee & calf lacerated,n,m,Treading water,"B. Gibson, M. Levine, GSAF"
1946.01.24.a,Jan,24,1946,south africa,kwazulu-natal,"battery beach, durban",Unprovoked,Foot severely lacerated,n,m,Swimming,"J. R. Varma; M. Levine, GSAF"
1946.01.17,Jan,17,1946,australia,queensland,townsville,Unprovoked,Ankle bitten,n,m,,"G.P. Whitley (1951), p.193; V.M. Coppleson (1958), p.239"
1945.09.23,Sep,23,1945,hong kong,,tweed beach,Unprovoked,FATAL,y,m,Bathing,"Argus, 9/25/1946, p.20; V.M. Coppleson (1962), p.247"
1945.08.19,Aug,19,1945,iran / iraq,shatt-al-arab river,vicinity of abadan,Unprovoked,Lower left leg amputated,n,m,,"A. Anderson, M.D. / Lt. Col. R.S. Hunt, Royal Army Medical Corp, p.84"
1945.06.15,Jun,15,1945,australia,queensland,"trinity beach, cairns",Unprovoked,FATAL,y,m,Swimming,"Cairns Post, 6/19/1945"
1944.10.25.a,Oct,25,1944,philippines,,off cape engano,Unprovoked,"Shark grazed leg, leaving toothmarks",n,m,Parachuted into Pacific,"G.A. Llano in Airmen Against the Sea, p.66"
1944.08.20,Aug,20,1944,south africa,kwazulu-natal,margate,Unprovoked,"FATAL, body not recovered",y,m,Swimming ,"T. Blake, M. Levine, GSAF"
1944.07.22,Jul,22,1944,south africa,western cape province,hartenbos,Unprovoked,"FATAL, body not recovered",y,m,Swimming,"M. Levine, GSAF"
1944.05.31,May,31,1944,usa,florida,atlantic beach,Unprovoked,Left calf bitten,n,f,Bathing,"H.W. Bigelow & C.W. Schroeder (1948) pp.70 & 368; V.M. Coppleson (1958) ; Randall, p.353 in Sharks & Survival; T. Helm, p.227"
1944.03.26.b,Mar,26,1944,south africa,kwazulu-natal,"country club beach, durban",Unprovoked,Left thigh bitten,n,m,Treading water,"G. Botha, M. Levine, GSAF"
1944.03.26.a,Mar,26,1944,south africa,kwazulu-natal,"north beach, durban",Unprovoked,"FATAL, left thigh & calf bitten  ",y,m,Standing,"G. Botha, M. Levine, GSAF "
1944.03.14,Mar,14,1944,south africa,kwazulu-natal,"country club beach, durban",Unprovoked,Ankle severely lacerated,n,m,Treading water,"R.D. Field, M. Levine, GSAF "
1944.02.27,Feb,27,1944,south africa,western cape province,false bay,Unprovoked,Foot & ankle lacerated,n,m,Treading water,"L. Green; M. Levine, GSAF"
1944.02.18,Feb,18,1944,india,,"triplicane beach, chennai",Unprovoked,FATAL,y,m,Bathing,"Indian Express, 2/19/1944"
1944.01.20,Jan,20,1944,south africa,kwazulu-natal,"north beach, durban",Unprovoked,"FATAL, right thigh lacerated, femoral artery severed ",y,m,Body surfing,"M. Levine, GSAF"
1944.01.14,Jan,14,1944,australia,new south wales,"first beach, forster",Unprovoked,"Both legs bitten, one surgically amputated",n,m,Surfing,"G.P. Whitley (1951), p.193, cites Daily Mirror (Sydney) 1/18/1944; V.M. Coppleson (1958), p.84"
1943.12.12,Dec,12,1943,south africa,kwazulu-natal,"inyoni rocks, amazimtoti",Unprovoked,"FATAL, abdomen, buttock & thigh lacerated  ",y,m,Treading water,"R. Kahn, M. Levine, GSAF; Natal Mercury 1/21/1944"
1943.11.21,Nov,21,1943,south africa,eastern cape province,kei river mouth,Unprovoked,Right foot lacerated,n,m,Swimming with board,"M. Levine, GSAF"
1943.09.23,Sep,23,1943,panama,gulf of panama,"north shore of rey island, las perlas archipelago",Unprovoked,"FATAL, left leg  & shoulder bitten  ",y,m,Dived overboard to check propeller of US Navy motor torpedo boat,Captain B. H. Kean
1943.03.21,Mar,21,1943,south africa,kwazulu-natal,"north beach, durban",Unprovoked,"FATAL, thigh lacerated, both calves bitten  ",y,m,Swimming,"M. Levine, GSAF"
1942.12.26,Dec,26,1942,australia,new south wales,"bantry bay, near ironstone point, middle harbor, sydney",Unprovoked,"FATAL, legs bitten ",y,f,Dog paddling or standing,"G.P. Whitley (1951), p. 193; V.M. Coppleson (1958), p.70; A. Sharpe, pp.72-73; A. MacCormick, pp.34-35"
1942.11.25,Nov,25,1942,south africa,kwazulu-natal,umkomaas,Unprovoked,"Calf bitten, leg surgically amputated",n,m,Swimming,"M. Levine,GSAF "
1942.09.12.a,Sep,12,1942,australia,queensland,"trinity beach, 17 km northwast of cairns",Unprovoked,"Right foot severed & calf removed, leg  surgically amputated below the knee",n,m,Treading water,"A Wearne, J. Green, pp.44-50; G.P. Whitley (1951), p. 193, cites Sydney Morning Herald, 8/11/1943;  V.M. Coppleson (1958), pp.87 & 238"
1941.09.25,Sep,25,1941,caribbean sea,,125 nm north of aruba,Unprovoked,Leg lacerated FATAL,y,m,SS Ethel Skakel foundered in Central America Hurricane of 1941,Washington Post. 10/2/1941
1941.06.15,Jun,15,1941,usa,new york,15 miles south of jones inlet,Provoked,Left hand bitten as he tried to put rope around shark's tail PROVOKED INCIDENT,n,m,Fishing from 32' boat,"New York Times, 6/16/1941; V.M. Coppleson (1958)"
1941.02.13.,Feb,13,1941,australia,new south wales,wollongong,Provoked,Hand lacerated by hooked shark PROVOKED INCIDENT,n,m,Fishing,"Canberra Times, 2/18/1941, p.4"
1941.01.29,Jan,29,1941,south atlantic ocean,in convoy ob 274,off sierra leone,Unprovoked,Clothing torn by sharks,n,m,Rescuing seaman after ship sunk by German raider,"The London Gazette, 7/8/1941"
1940.12.28,Dec,28,1940,australia,new south wales,"stockton beach, newcastle",Unprovoked,"FATAL, injuries to lower back ",y,m,Standing on sandbank,"J. Green, p.33; V.M. Coppleson (1958), p.235;  G.P. Whitley (1951), p. 192"
1940.12.20,Dec,20,1940,south africa,kwazulu-natal,"inyoni rocks, south coast",Unprovoked,"FATAL, multiple injuries to legs & buttocks ",y,m,Swimming,"R. Kahn, M. Levine, GSAF"
1940.12.19.R,Dec,19,1940,australia,queensland,double island beach,Unprovoked,Minor injury to leg,n,m,Fishing,"Soda Springs Sun, 12/19/1940"
1940.12.10,Dec,10,1940,australia,northern territory,darwin,Provoked,Leg severely lacerated PROVOKED INCIDENT,n,m,Collecting fish in military trap when bitten by captured shark that had been shot by soldiers with Garten,"V.M. Coppleson; G.P. Whitley (1951), p. 192"
1940.07.13.b,Jul,13,1940,usa,south carolina,folly beach,Unprovoked,Ankle bitten,n,m,Standing,"V.M. Coppleson (1958), p.253"
1940.07.13.a,Jul,13,1940,usa,south carolina,folly beach,Unprovoked,Struck by shark immediately before it bit Tanner (see below),n,m,Standing ,"V.M. Coppleson (1958), p.253 "
1940.06.30,Jun,30,1940,usa,north carolina,holden beach,Unprovoked,Thigh lacerated,n,m,Fishing,"C. Creswell, GSAF; F. Schwartz, p.23"
