Case Number,Month,Day,Year,Country,Region,Attack Location,Provoked (Y/N),Injury Description,Fatal (Y/N),Victim_Gender,Activity,Investigator or Source
1998.08.26,Aug,26,1998,usa,california,stinson beach,Unprovoked,"Thigh, buttocks & lower back lacerated",n,m,Boogie boarding,"R. Collier, pp.163-164      "
1998.08.23.R,Aug,23,1998,usa,virginia,virginia beach,Unprovoked,Lacerations to left hand,n,m,Spearfishing,Dan
1998.08.15,Aug,15,1998,bahamas,berry islands,ambergris cay,Unprovoked,Calf bitten,n,m,Spearfishing,"E. Ritter, GSAF"
1998.08.13,Aug,13,1998,usa,florida,ponce inlet,Unprovoked,Left calf injured,n,m,Body-boarding,"A. Buttigieg, GSAF"
1998.08.12,Aug,12,1998,south africa,transvaal,"national zoological gardens aquarium, pretoria",Provoked,Lacerations to right shin  PROVOKED INCIDENT,n,m,Moving a shark in a net ,"Daily Dispatch, 8/13/1998"
1998.07.26,Jul,26,1998,brazil,pernambuco,"boa viagem, recife",Unprovoked,Lacerations to left foot,n,m,Surfing,JCOnline
1998.07.25,Jul,25,1998,usa,florida,new smyrna beach,Unprovoked,Calf bitten,n,m,Surfing,"S. Petersohn, GSAF; Orlando Sentinel, 7/24/1998 & 7/27/1998 "
1998.07.11,Jul,11,1998,south africa,eastern cape province,st. francis bay,Unprovoked,Knee bitten,n,m,Surfing,"East London Daily Dispatch, 7/13/1998"
1998.06.28.a,Jun,28,1998,australia,south australia,south neptune island,Unprovoked,"FATAL, left thigh and lower leg severely injured  ",y,m,Free diving for abalone,R.W. Byard
1998.06.22,Jun,22,1998,south africa,eastern cape province,"gonubie, 13 km northeast of east london",Unprovoked,"FATAL, hands & calf bitten  ",y,m,Body Boarding,"A. Gifford, GSAF"
1998.05.30,May,30,1998,south africa,eastern cape province,pollock beach,Unprovoked,Minor laceration on foot,n,m,Surfing,"A. Gifford, GSAF"
1998.05.29.b,May,29,1998,south africa,eastern cape province,sardinia bay near port elizabeth,Unprovoked,Right shoulder & arm bitten,n,m,Body boarding,"A. Gifford, GSAF"
1998.05.29.a,May,29,1998,south africa,eastern cape province,jeffreys bay,Unprovoked,Leg bitten,n,m,Body boarding,"A. Gifford, GSAF"
1998.05.25,May,25,1998,usa,florida,new smyrna beach,Unprovoked,4 lacerations on the sole of his right foot,n,m,Surfing,"S. Petersohn, GSAF; Orlando Sentinel, 5/26/1998, p.C.3; Daytona Beach News Journal, 5/26/1998, p.2D"
1998.05.16.c,May,16,1998,usa,florida,pecks lake,Unprovoked,Ankle & foot bitten,n,f,Swimming,"The Stuart (FL) News, 5/17/1998"
1998.05.16.b,May,16,1998,usa,florida,walden rocks,Unprovoked,Left arm & wrist lacerated,n,m,Swimming / surfing,"The Stuart (FL) News, 5/17/1998"
1998.05.16.a,May,16,1998,south africa,western cape province,keurbooms,Unprovoked,"Lower legs bitten, foot severed",n,m,Body boarding,"A. Gifford, GSAF"
1998.04.26,Apr,26,1998,mozambique,gaza,"bilene bay, 180 km north of maputo",Unprovoked,"FATAL, torso & abdomen bitten, forearm severed ",y,f,Towing rubber dinghy,"A. Gifford, GSAF"
1998.04.21,Apr,21,1998,usa,oregon,gleneden beach,Unprovoked,Right thigh bitten,n,m,Surfing (lying prone on his board),"R. Collier, pp.161-163"
1998.04.17,Apr,17,1998,usa,florida,marathon,Provoked,"He grabbed shark's tail, shark bit his chest & held on.  PROVOKED INCIDENT",n,m,Scuba diving,"CNN; Orlando Sentinel, 4/18/1998, p.D7;   Tallahassee Democrat, 4/19/1998"
1998.03.31,Mar,31,1998,usa,florida,jensen beach park,Unprovoked,Heel lacerated,n,m,Swimming,"The Stuart (FL) News, 4/1/1998"
1998.03.15,Mar,15,1998,south africa,western cape province,saldanha bay,Unprovoked,Lower leg lacerated,n,m,Snorkeling  hunting crayfish and abalone,C. Maxwell
1998.02.23,Feb,23,1998,usa,florida,jensen beach,Unprovoked,Hands bitten,n,m,Swimming,"Palm Beach Post, 2/24/1998"
1998.01.25.b,Jan,25,1998,reunion,grand'anse,,Unprovoked,FATAL,y,m,Bathing,G. Van Grevelynghe
1998.01.25.a,Jan,25,1998,south africa,eastern cape province,east london,Unprovoked,Calf & foot lacerated,n,m,Surfing,"A. Gifford, GSAF"
1998.01.17,Jan,17,1998,australia,south australia,middleton beach,Unprovoked,20 punctures in right foot,n,m,Surfing,"Sunday Mail (QLD), 1/18/1998, p.22; Hobart Mercury, 1/19/1998, p.41"
1998.01.14,Jan,14,1998,mozambique,maputo province,ponta do ouro,Unprovoked,Leg bitten,n,m,Surfing,"A. Gifford, GSAF "
1997.12.28.b,Dec,28,1997,south africa,western cape province,"pringle bay, 44 miles southeast of cape town",Unprovoked,FATAL,y,m,Spearfishing,"A. Gifford, GSAF"
1997.12.28.a,Dec,28,1997,south africa,eastern cape province,st. francis bay,Unprovoked,Calf bitten,n,m,Sitting on surfboard,"A. Gifford, GSAF"
1997.12.25.a,Dec,25,1997,usa,florida,hollywood beach,Unprovoked,Left leg gashed knee to ankle,n,m,Swimming,"Orlando Sentinel, 12/27/1997, p.D.3; Globe Newspaper Company"
1997.10.28.b,Oct,28,1997,australia,western australia,"cottesloe beach, perth",Unprovoked,"Sierakowski suffered a minor facial injury, ski bitten in half by shark",n,m,Surf-skiing,"Reuters Limited, et al"
1997.10.28.a,Oct,28,1997,usa,hawaii,"waiokapua bay/majors bay, brennecke beach, poipu, kaua'i island",Unprovoked,"Both legs bitten, right leg severed at mid-calf & defense wounds on right hand",n,m,Body boarding or surfing,"Yahoo News Canada, 8/16/2012"
1997.10.24,Oct,24,1997,usa,florida,north jetty,Unprovoked,"5"" gash in foot",n,m,Surfing,"Fort Pierce News,  10/25/1997 & 10/31/1997"
1997.10.21,Oct,21,1997,usa,florida,north jetty,Unprovoked,Left foot bitten,n,m,Surfing,"Fort Pierce News,  10/24/1997, p.A2"
1997.09.16,Sep,16,1997,brazil,pernambuco,"boa viagem, recife",Unprovoked,FATAL,y,m,Swimming,JCOnline
1997.08.30,Aug,30,1997,usa,florida,new smyrna beach,Unprovoked,Lacerations on right ankle & heel,n,m,Surfing,"S. Petersohn, GSAF"
1997.08.27,Aug,27,1997,usa,florida,new smyrna beach,Unprovoked,"2"" laceration on left heel",n,m,Walking / surfing,"S. Petersohn, GSAF"
1997.08.24,Aug,24,1997,usa,california,clam beach,Unprovoked,Leg & hand bitten,n,m,Surfing (sitting on his board),"R. Collier, pp.159-160"
